Country	Motorways	Express-/ Speedways	Motor- & Express-/ Speedways directions	Primary roads	Secondary roads	Warning signs	Road works / Detours[n 1]	
Name	
Austria		w/b			w/b		w/b	°w/g[n 2][n 3]			bl/w	×			bl/w				bl/y	
Switzerland	w/g			w/g		w/g			w/b				bl/w		bl/w			bl/o		
Liechtenstein	w/g			w/g		w/g			w/b				bl/w		bl/w			bl/o		
Lithuania	w/g				w/b	w/g			w/b				bl/w		bl/w				bl/y	
Czech Republic	w/g				w/b	w/g[n 4]	w/b[n 5]		w/b				bl/w		bl/w			bl/o		
Germany		w/b			w/b		w/b			bl/y		×			bl/w				bl/y	
Greece	y+w/g				y+w/b	°y+w/g[n 6]	°y+w/b[n 7]		y+w/b				bl/w			bl/y			
France		w/b			w/b		w/b	°w/g[n 2]			bl/w	×			bl/w	°bl/y[n 1]		bl/o		
Poland		w/b		w/b			w/b	w/g					b/w			bl/o		bl/o		
Ireland		w/b	×				w/b	w/g					bl/w				bl/y	bl/o		
Italy	w/g				w/b[n 8]	°w/g[n 6]	°w/b[n 7]		w/b				bl/w		bl/w	°bl/y[n 1]			bl/y	
Netherlands		w/b			w/b		w/b		w/b					w/b	bl/w				bl/y	
Norway		w/b			w/b		w/b			bl/y		×			bl/w	°bl/gg[n 1]		bl/o		
Portugal	
United Kingdom		w/b	×				w/b	w/g					bl/w		bl/w				bl/y	
Legend: t/b – applied text/icon and background colour code (black, blue, green, gleaming green, orange, red, yellow, white) ° – partially applicable × – not applicable	
