Audio player	Video playback	Outbound streaming	Skinnable	Media database	Gapless audio decoding	Visualizer	Remote controllable	Intelligent playlists from database (based on criteria)	
AIMP	No	via Plugins	Yes	Yes	Yes	Yes	via Plugins	No	
Amarok	Partial[featurenotes 1]	Yes	Partial[featurenotes 2]	Yes	Yes	Yes	Yes	Yes	
Audacious	No	No	Yes	No	Yes	Yes	Yes	No	
Audion	No	No	Yes	No	?	Yes	?	No	
cmus	No	No	Yes	Yes	Yes	No	Yes	No	
Cog	No	No	No	No	Yes	No	Yes	No	
Clementine	No	No	No	Yes	Yes	Yes	Yes	Yes	
Exaile	No	?	No	Yes	Yes	No	Yes[17]	Yes	
foobar2000	No	Partial[18]	Yes[featurenotes 3]	Yes	Yes	Yes	Partial[18]	Yes	
iTunes	Yes	Yes	Partial[18]	Yes	Yes	Yes	Yes	Yes	
JRiver Media Center	Yes	via Plugins	Yes	Yes	Yes	Yes	via Plugins	Yes	
JuK	No	No	No	Yes	No	No	Yes[featurenotes 4]	?	
MediaMonkey	Yes	Partial[18]	Yes	Yes	Yes	Yes	Partial[18]	Yes	
MPXPLAY	Yes (with MMC v2.00a)	?	text-interface	Yes	Yes	Yes	Yes (also LCD ability)	?	
Music Player Daemon	No	Yes	Client dependent	Yes	Yes	Client dependent	Yes	Client dependent	
MusicBee	No	No	Yes	Yes	Yes	Yes	Yes	Yes	
Musicmatch Jukebox	No	No	Yes	Yes	?	Yes	Yes	?	
musikCube	No	No	No	Yes	No	Partial[18]	?	Yes	
Quod Libet	No	No	No	Yes	Yes	No	Yes	Yes	
Rhapsody	No	No	No	Yes	?	No	?	?	
Rhythmbox	No	No	No	Yes	Yes	Yes	Yes	Yes	
Sonique	Partial[18]	No	Yes	No	No	Yes	?	No	
Spotify	Yes	?	No	No	Yes	No	Yes (via app)	No	
Winamp	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
XMMS	Partial[18]	Partial[18]	Yes	No	Partial[18]	Yes	Yes	No	
XMPlay	Partial[18]	Partial[18]	Yes	No	Yes	Yes	No	No	
Zinf	No	No	Yes	Yes	?	No	?	?	
Audio player	
