Audio player	Lossy compression	Lossless compression	
MP3	
AIMP	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes[20]	Yes	Yes	Yes	Yes	No	Yes	Yes	
Amarok[21][22][23]	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	
Audacious	Yes	Yes	No	Yes	Yes	Yes	Yes	?	Yes[24]	Yes	Yes	Yes	No	Yes	?	
Audion	Yes	No	No	Yes	No	No	No	?	?	No	No	No	No	No	?	
Banshee	Yes	?	?	Yes	?	?	?	?	?	No	?	?	?	?	?	
cmus	Yes	Yes[24]	No	Yes	Yes	Yes	Yes[24]	?	Yes[25]	Yes[24]	Yes	Yes[24]	Yes[24]	Yes	?	
Cog	Yes	No	No	Yes	Yes	Yes	No	?	?	Yes	Yes	Yes	Yes	Yes	?	
Exaile	Yes[26]	Yes[26]	Yes[26]	Yes[26]	Yes[26]	Yes[26]	Yes[26]	?	Yes	Yes[26]	Yes[26]	Yes[26]	Yes[26]	Yes[26]	?	
foobar2000	Yes	Yes	No	Yes	Yes	Yes	Partial[18]	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
Groove Music	Yes	Yes	No	No		Yes	Yes				Yes					
JRiver Media Center	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
JuK	Yes	No	No	Yes	Yes	No	No	?	?	Yes	Yes	No	Yes	No	?	
Media Jukebox	Yes[audionotes 1]	Yes	Yes	Yes	Yes	Yes	Yes	?	?	Yes	Yes	Yes	Yes	Yes	?	
MediaMonkey	Yes	Yes	No	Yes	Yes	Partial[27]	Partial[27]	?	No	Yes	Yes	Yes	Partial[18]	Partial[18]	?	
MPXPLAY	Yes	Yes	No	Yes	Yes	Yes	Yes	?	Partial[18]	Yes	Yes	No	No	Yes	?	
Music Player Daemon	Yes	Yes[24]	Partial[24]	Yes	Yes	Yes	Yes[24]	Yes[24]	Yes	Yes[24]	Yes	Yes	Yes[24]	Yes	?	
MusicBee	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes[20]	Yes	Yes	Yes	Yes	Yes[20]	Yes	Yes	
Musicmatch Jukebox	Yes	Yes	No	No	No	No	No	?	?	No	No	No	No	No	?	
musikCube	Yes	Partial[27]	No	Yes	Partial[27]	Partial[27]	Partial[27]	?	?	Yes	Yes	No	No	Partial[27]	?	
Quod Libet	Yes[26]	Yes[26]	Yes[26]	Yes[26]	Yes[26]	Yes[26]	Yes[26]	?	Yes	Yes[26]	Yes[26]	Yes[26]	Yes[26]	Yes[26]	?	
Rhapsody	Yes	Yes	Yes	No	No	Yes	No	?	?	No	No	No	No	No	?	
Rhythmbox	Yes[26]	Yes[26]	Yes[26]	Yes[26]	Yes[26]	Yes[26]	Yes[26]	?	Yes[26]	Yes[26]	Yes[26]	Yes[26]	Yes[26]	Yes[26]	?	
Sonique	Yes	Yes	No	Yes	Partial[27]	Partial[27]	No	?	?	No	No	No	No	No	?	
Spotify[28]	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	
Style Jukebox	Yes	Yes	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	Yes	
Winamp	Yes	Yes	Yes[18]	Yes	Yes[18]	Yes	?	?	?	?	Yes	?	?	Yes[18]	?	
XMMS	Yes	Partial[27]	Partial[27]	Partial[27]	Yes	Yes	No	Yes[18]	?	Partial[27]	Yes	No	Partial[27]	Yes	?	
XMPlay	Yes	Yes[18]	Yes[18]	Yes	Yes[18]	Yes[18]	Yes[18]	?	Yes[18]	Yes[18]	Yes[18]	Yes[18]	Yes[18]	Yes[18]	?	
Zinf	Yes	No	No	Yes	No	No	No	?	?	No	No	No	No	No	?	
Audio player	
