Client	Creator	Software license	Latest release	
BookmarkSync	Jack Dean	Proprietary	Windows: 3.0.0 (August 2010; 8 years ago (2010-08)) [±] Mac OS X: 1.0.4 (September 14, 2005; 13 years ago (2005-09-14)) [±] BookmarkSync was discontinued some time around 2006.	
Opera	Opera Software	Proprietary	Opera: 57.0.3098.91 (December 6, 2018; 3 days ago (2018-12-06)[1]) Opera Mini: Android 37.3.2254.133321 / 20 November 2018; 19 days ago (2018-11-20)[2][3] iOS 16.0.14 / 4 October 2018; 2 months ago (2018-10-04)[4] Windows Mobile 10 and Phone 8.1 9.1.0.232 / 16 June 2016; 2 years ago (2016-06-16)[5] BlackBerry 8.0.1 / 10 July 2014; 4 years ago (2014-07-10)[6] Symbian 7.1.32453 / 6 December 2016; 2 years ago (2016-12-06)[7] Java ME 8.0 / 12 March 2014; 4 years ago (2014-03-12)[8]	37.3.2254.133321 / 20 November 2018; 19 days ago (2018-11-20)[2][3]	16.0.14 / 4 October 2018; 2 months ago (2018-10-04)[4]	9.1.0.232 / 16 June 2016; 2 years ago (2016-06-16)[5]	8.0.1 / 10 July 2014; 4 years ago (2014-07-10)[6]	7.1.32453 / 6 December 2016; 2 years ago (2016-12-06)[7]	8.0 / 12 March 2014; 4 years ago (2014-03-12)[8]	
Android	37.3.2254.133321 / 20 November 2018; 19 days ago (2018-11-20)[2][3]	
iOS	16.0.14 / 4 October 2018; 2 months ago (2018-10-04)[4]	
Windows Mobile 10 and Phone 8.1	9.1.0.232 / 16 June 2016; 2 years ago (2016-06-16)[5]	
BlackBerry	8.0.1 / 10 July 2014; 4 years ago (2014-07-10)[6]	
Symbian	7.1.32453 / 6 December 2016; 2 years ago (2016-12-06)[7]	
Java ME	8.0 / 12 March 2014; 4 years ago (2014-03-12)[8]	
SiteBar	Ondrej Brablc	GPL	3.4 12 February 2014; 4 years ago (2014-02-12)	
Firefox Sync	Mozilla Foundation	Mozilla Public License	Standard 63.0.3 / November 15, 2018; 24 days ago (2018-11-15)[9] Extended Support Release 60.3.0 / October 23, 2018; 47 days ago (2018-10-23)[10]	63.0.3 / November 15, 2018; 24 days ago (2018-11-15)[9]	60.3.0 / October 23, 2018; 47 days ago (2018-10-23)[10]	
Standard	63.0.3 / November 15, 2018; 24 days ago (2018-11-15)[9]	
Extended Support Release	60.3.0 / October 23, 2018; 47 days ago (2018-10-23)[10]	
Google Chrome	Google	Freeware under Google Chrome Terms of Service	Windows, macOS, Linux 71.0.3578.80 / December 4, 2018; 5 days ago (2018-12-04)[11] Android 71.0.3578.83 / December 4, 2018; 5 days ago (2018-12-04)[12] iOS 71.0.3578.77 / December 4, 2018; 5 days ago (2018-12-04)[13]	71.0.3578.80 / December 4, 2018; 5 days ago (2018-12-04)[11]	71.0.3578.83 / December 4, 2018; 5 days ago (2018-12-04)[12]	71.0.3578.77 / December 4, 2018; 5 days ago (2018-12-04)[13]	
Windows, macOS, Linux	71.0.3578.80 / December 4, 2018; 5 days ago (2018-12-04)[11]	
Android	71.0.3578.83 / December 4, 2018; 5 days ago (2018-12-04)[12]	
iOS	71.0.3578.77 / December 4, 2018; 5 days ago (2018-12-04)[13]	
Pale Moon Sync	M.C. Straver	Mozilla Public License	N/A (part of Pale Moon)	
	
Eversync	Nimbus Web Inc	Proprietary	Firefox: 15.5.1 (July 5, 2018; 5 months ago (2018-07-05)) [±] Chrome: 17.1.1 (July 5, 2018; 5 months ago (2018-07-05)) [±] IE: Android: 1.11.1 (May 19, 2017; 18 months ago (2017-05-19)) [±] iOS: 2.6 (October 4, 2016; 2 years ago (2016-10-04)) [±] Windows Phone:	
