	Developer	First release	Latest release	License	Platform	
Aquarium	Victor Zakharov, Vladimir Makhnychev	2008	2018	Commercial (Convekta)	Microsoft Windows	
Battle Chess	Interplay Silicon & Synapse (C64)[1]	1988	1994	Commercial	Microsoft Windows, Apple Inc., Amiga, 3DO, Acorn Archimedes, Atari, Commodore 64, MS-DOS, FM Towns, NES, PC-98, Sharp X68000	
Battle Chess: Game of Kings	Interplay	2014-04	n/a	Commercial	Steam (software)	
Battle vs. Chess	Targem Games Zuxxez Entertainment	2011	n/a	Commercial	Microsoft Windows, Mac OS X, Nintendo DS, PlayStation 3, PlayStation Portable, Xbox 360, Wii	
Chessaria: The Tactical Adventure	Pixel Wizards[2][3]	2018	n/a	Commercial	Steam (software), Microsoft Windows, Mac OS X	
Chess Assistant	Victor Zakharov	1988	2018	Commercial (Convekta)	Microsoft Windows	
Chessbase	Mathias Wüllenweber, Mathias Feist	1987	2018	Commercial (Chessbase)	Microsoft Windows, Android, Steam	
Chess Crusade	Slam Games [4]	2008	2010	Commercial	Microsoft Windows, iOS, Wii, Nintendo DS, PlayStation 2,	
Chessmaster	David Kittinger, Kathe and Dan Spracklen, Johan de Koning	1986	2007	Commercial (Ubisoft)	MS Windows, MS-DOS, PlayStation, Xbox 360, (XBLA), PSP, PS2	
Chess Titans	Oberon Games	2007	n/a	Included in Microsoft Windows Vista and 7	Windows Vista, Windows 7	
ChessV	Gregory Strong	2009	n/a	GPL	Microsoft Windows	
Combat Chess	Ed Schroder, Mind's Eye Productions [5]	1997		Commercial (Gog.com)	Microsoft Windows	
Fritz	Frans Morsch, Mathias Feist, Gyula Horvath, Vasik Rajlich	1991	2018	Commercial (Chessbase)	Microsoft Windows, Steam, PlayStation 3, Wii, Nintendo DS	
Fritz and Chesster	Chessbase	2005	2010	Commercial (Chessbase)	Microsoft Windows, Mac, Nintendo DS	
glChess	Robert Ancell, GNOME Team	2000		Free	Unix-like	
GNU Chess	Stuart Cracraft, John Stanback, Chua Kong-Sian, Fabien Letouzey	1984	2013	Free	Microsoft Windows, Unix-like	
HIARCS	Mark Uniacke	1980	2012	Commercial (Chessbase, Hiarcs.com)	Microsoft Windows, iOS, Mac OS X, Windows Mobile, Freescale DragonBall, ARM-based Palm OS	
Junior	Amir Ban, Shay Bushinsky	2003		Commercial (Chessbase, Hiarcs.com)	Microsoft Windows	
Kasparov Chessmate	Per-ola Valfridsson	2003		Commercial (EA Mobile)	Microsoft Windows, Playstation	
Lego Chess	Krisalis Software [6]	1998	n/a	Commercial	Microsoft Windows	
Playchess	Chessbase	2003	2018	Commercial (Chessbase)	Microsoft Windows, web	
Power Chess	David Kittinger, Sierra Entertainment [7]	1996	1998	Commercial (Vivendi)	Microsoft Windows	
Pure Chess	VooFoo Studios	2012	n/a	Commercial (Ripstone)	Microsoft Windows, Android, iOS, PlayStation 3, PlayStation Vita	
pyChess	PyChess Project	2006		GPL	Unix-like	
Rybka	Vasik Rajlich	2010		Commercial (Chessbase, rybkachess.com)	Microsoft Windows	
Shredder	Stefan Meyer-Kahlen	1993	2010	Commercial (Chessbase Shredderchess.com)	Microsoft Windows, Mac OS X, Linux, iPhone, iPad, Android	
Silver Star Chess	AgeTec [8]	2008	n/a	Commercial	Wiiware	
SMIRF	Reinhard Scharnagl		2009	Commercial	Microsoft Windows	
Wii Chess	Fritz Reul	2008	n/a	Commercial	Nintendo Wii	
Winboard/xBoard	Tim Mann, Harm Geert Muller		2013	Free GPL	Unix-like, X11, Microsoft Windows	
