	included chess engine(s)	Can open/save PGN	Can import UCI[9] engines	Levels	3D or Animated pieces	Variants	Multiplayer	
Aquarium	Crafty, Delfi, Rybka, Spike	Yes	Yes	multivariation[10], uci_elo[11]	No	Chess960	No	
Battle Chess	n/a	No	No		Yes	No		
Battle Chess: Game of Kings	n/a	No	No		Yes	No		
Battle vs. Chess	Fritz	No	No		Yes			
Chessaria: The Tactical Adventure	n/a	No	No		Yes	Yes	Yes	
Chess Assistant	Dragon, Rybka	Yes	Yes	multivariation, uci_elo[12]	No	Chess960	No	
Chessbase	Fritz	Yes	Yes	uci_elo[13] for analysis but no timed play	No	Chess960	No	
Chess Crusade	n/a	No	No					
Chessmaster	The King	Yes	No	Personalities with Elo ratings	Yes	No	no longer supported	
Chess Titans	n/a	No	No	Yes	No	No		
ChessV								
Combat Chess	Rebel	Yes	No		Yes			
Fritz	Rybka, earlier Pandix or Fritz	Yes	Yes	Friend Mode[14], Handicap and Fun[15], uci_elo[16]	Yes	Chess960		
Fritz and Chesster	Fritz						
Hiarcs Chess Explorer	Hiarcs	Yes	Yes	uci_elo[17]	No	No	No	
Chessbase Junior	Junior	Yes	Yes	Friend Mode, Handicap and Fun, uci_elo[18]	Yes	Chess960	Yes	
glChess							
GNU Chess	GNU chess	Yes	No		No	Knightmate, Capablanca and Gothic Chess, Shatranj, Courier Chess, Cylinder chess, Berolina Chess under fairymax	No	
Lego Chess	n/a	No	No		Yes		No	
Playchess	none	Yes	No	Other players have Elo rating	No	Chess960	Yes	
Power Chess	WChess	No	No					
Pure Chess	n/a	No	No		Yes			
pyChess								
Chessbase Rybka	Rybka	Yes	Yes	Friend Mode, Handicap and Fun, uci_elo[19]	Yes	Chess960	Yes	
Shredder UCI GUI	Shredder	Yes	Yes	uci_elo[20]	No	Chess960	No	
Silver Star Chess	n/a		No					
SMIRF						Chess960, Bird Chess, Capablanca Chess, Capablanca Random Chess, Carrera Chess, Embassy Chess, Janus Chess		
Wii Chess	Loop Express	No	No					
Winboard/xBoard	Crafty	Yes	via UCI2WB	No	No	Knightmate, Capablanca and Gothic Chess, Shatranj, Courier Chess, Cylinder chess, Berolina Chess under fairymax	Yes	
